work,workDescription,workLabel,coords,address,aliases,image,DRSImageURL,yearInstalled,yearRemoved,materials,categories,creators,neighborhoods,depicted,commemorated
http://www.wikidata.org/entity/Q109272116,2008 plaque by Reno Pisano,Portrait Childe Hassam,Point(-71.074687943 42.346191666),"325 Columbus Ave, Boston, MA 02118",,,,2008,,granite; bronze,commemorative plaque,,South End,Childe Hassam,
http://www.wikidata.org/entity/Q107689886,1987 sculpture by John Wilson in Boston,Eternal Presence,Point(-71.092171167 42.316433316),"300 Walnut Avenue, Boston, MA 02119",,,https://repository.library.northeastern.edu/downloads/neu:4f184n609?datastream_id=thumbnail_5,1987,,bronze,sculpture,John Woodrow Wilson,Roxbury,,
http://www.wikidata.org/entity/Q117478072,1995 sculpture by Leonardo Niermann at Northeastern University's Boston campus,Flame of Hope,Point(-71.09040143 42.33972601),"400 Huntington Ave, Boston, MA 02115",,,,1995,,stainless steel,sculpture,Leonardo Nierman,Fenway–Kenmore,,
http://www.wikidata.org/entity/Q112583577,2012 sculpture by George Mossman Greenamyer in Roslindale,Traffic,Point(-71.130833 42.286667),,,,https://repository.library.northeastern.edu/downloads/neu:4f185n45c?datastream_id=thumbnail_5,2012,,steel,sculpture,George Greenamyer,Roslindale,,
http://www.wikidata.org/entity/Q113996535,2021 mural by Beau Stanton,Precipice,Point(-71.03829775 42.36831078),"239 Sumner St, Boston, MA 02128",,,,2021,,,mural,Beau Stanton,East Boston,,
http://www.wikidata.org/entity/Q109272106,2019 mural by Juan Travieso,Engulf,Point(-71.058369744 42.351912584),,,,,2019,,,mural,Juan Travieso,Chinatown,tiger,
http://www.wikidata.org/entity/Q117071409,1990 decorative fence by Dimitri Gerakaris for the Pine Street Inn women's shelter,Women's Shelter Fence,Point(-71.063348581 42.3425345),"65 Paul Sullivan Way, Boston, MA 02118",,,,1990,,,fence,Dimitri Gerakaris,South End,,
http://www.wikidata.org/entity/Q117466385,2018 mural by Cedric Douglas and Daniel  Anguilu for Northeastern University,Untitled,Point(-71.094978 42.3386618),"Burstein Hall, 452 Huntington Ave. Boston, MA 02115",,,,2018,,aerosol paint; acrylic paint,mural,Daniel Anguilu; Cedric Douglas,Fenway–Kenmore,,
http://www.wikidata.org/entity/Q107975683,"1997 mural by Mayor's Mural Crew, Jon Tran, and Alyssa Tang in Boston",Hairstyling,Point(-71.097947 42.315136),"1979 Columbus Avenue, Roxbury, MA 02119",My First Haircut,,,1997,,acrylic paint,mural,Mayor's Mural Crew,Roxbury,,
http://www.wikidata.org/entity/Q115175710,Electrical box in West Roxbury painted by Gary Koeppel,Cloudy Sky,Point(-71.155 42.286111),"Centre St & Corey St, Boston, MA 02132",,,https://repository.library.northeastern.edu/downloads/neu:4f186179n?datastream_id=thumbnail_5,,,,pattress; work of art,Gary Koeppel,West Roxbury,,
http://www.wikidata.org/entity/Q108655396,2015 photo mural by JR in Boston,Faces of Dudley,Point(-71.083598715 42.328823966),"149 Dudley St, Roxbury, MA 02119",,,,2015,,,mural,JR,Roxbury,,
http://www.wikidata.org/entity/Q117193226,"2014 mural by Mayor's Mural Crew, directed by Leah Jaffe and Elizabeth Metts",Dragon Mural,Point(-71.12720963 42.286806207),"5 Basile St, Roslindale, MA 02131",,,,2014,,,mural,Mayor's Mural Crew,Roslindale,,
http://www.wikidata.org/entity/Q109084316,1904 sculpture by Paul Wayland Bartlett,Dr. Joseph Warren,Point(-71.156666666 42.275833333),,Joseph Warren,,https://repository.library.northeastern.edu/downloads/neu:4f184m34g?datastream_id=thumbnail_4,1904,,bronze,sculpture,Paul Wayland Bartlett,West Roxbury,Joseph Warren,
http://www.wikidata.org/entity/Q108024624,"2014 mural by Richard ""Deme5"" Gomez and Thomas ""Kwest"" Burns",Roxbury Love,Point(-71.08147 42.32112),"280 Warren St, Boston, MA 02119",,,,2014,2020,,mural,Thomas Burns; Ricardo Gomez,Roxbury,Nelson Mandela,
http://www.wikidata.org/entity/Q107466770,1931 sculpture by Bruce Wilder Saville,General Leonard Wood,Point(-71.074054964 42.335750804),"818 Harrison Avenue, Boston, MA 02118",,,,1931,,bronze,sculpture,Bruce Saville,South End,Leonard Wood,
http://www.wikidata.org/entity/Q110088860,2021 mural in Boston's Allston neighborhood,"Puzzle Me, Allston-Brighton!",Point(-71.130743096 42.362726217),"224 Western Ave, Boston, MA 02134",,,,2021,2022,,mural,,Allston,,
http://www.wikidata.org/entity/Q107975682,1999 mural by Mayor's Mural Crew and Gregg Bernstein in Boston,Fort Hill,Point(-71.096434901 42.328695041),"1234 Columbus Avenue, Boston, MA 02120",,,,1999,,acrylic paint,mural,Gregg Bernstein; Mayor's Mural Crew,Roxbury,,
http://www.wikidata.org/entity/Q109272149,"2020 mural by Rob ""ProBlak"" Gibbs and Victor ""Marka27"" Quiñonez",Don't Let Me Be Misunderstood,Point(-71.0611851 42.344122069),"90 Traveler St, Boston, MA 02118",,,,2020,,,mural,Victor Quiñonez; Rob Gibbs,South End,Nina Simone,
http://www.wikidata.org/entity/Q107975717,2004 mural by Mayor's Mural Crew and Gregg Bernstein in Boston,William Monroe Trotter School,Point(-71.08754729 42.315996229),"135 Humboldt Avenue, Boston, MA 02121",,,https://repository.library.northeastern.edu/downloads/neu:4f185991d?datastream_id=thumbnail_5,2004,,acrylic paint,mural,Mayor's Mural Crew; Gregg Bernstein,Roxbury,,
http://www.wikidata.org/entity/Q117478284,1997 sculpture by Victor Halvani at Northeastern University's Boston campus,David Playing the Harp,Point(-71.087333759 42.338769329),,,,,1997,,bronze,sculpture,Victor Halvani,Fenway–Kenmore,,
http://www.wikidata.org/entity/Q109272095,2005 sculpture by Kahil Gribran,Ad Astra,Point(-71.074718331 42.346101167),"324 Columbus Ave, Boston, MA 02118",,,,2005,,bronze,sculpture,Kahlil Gibran,South End,,
http://www.wikidata.org/entity/Q109616002,2015 portrait bust by Robert Shure,Roberto Clemente Bust,Point(-71.071365485 42.340904962),"1440 Washington Street, Boston, MA 02118",,,,2015,,,sculpture,Robert Shure,South End,Roberto Clemente,
http://www.wikidata.org/entity/Q112042107,2021 mural by Tallboy,Death to Plastic,Point(-71.039834812 42.373844804),"160 Liverpool St, East Boston, MA 02128",,,,2021,,,mural,Chris Coulon,East Boston,,
http://www.wikidata.org/entity/Q107975697,2009 mural by Madison Park Development Corp teenagers in Boston,Peace Through Music,Point(-71.083103377 42.329416501),"44 Warren St, Boston, MA 02119",,,,2009,,,mural,,Roxbury,,
http://www.wikidata.org/entity/Q107975703,"2020 mural by Ricardo ""Deme5"" Gomez in Boston",Rules of Engagement,Point(-71.088868302 42.327511941),"Bartlett Station Drive, Roxbury, MA 02119",,,,2020,,paint,mural,Ricardo Gomez,Roxbury,,
http://www.wikidata.org/entity/Q107975675,1920 plaque by Garbati in Boston,Corporal Gordon Denton plaque,Point(-71.072482482 42.313601251),"1 Wayland Street, Dorchester, MA 02125",,,,1920,,bronze,commemorative plaque,,Roxbury,,
http://www.wikidata.org/entity/Q107975674,"2019 mural by Rob ""Problak"" Gibbs in Boston",Breathe Life 3,Point(-71.081507428 42.338254412),"808 Tremont Street, Boston, MA 02118",,,,2019,,aerosol paint; acrylic paint,mural,Rob Gibbs,Roxbury,,
http://www.wikidata.org/entity/Q108489868,1975 sculpture by Ted Barbarossa in Boston,Commemorative Relief of Noddle Island,Point(-71.04018 42.36867),"209 Sumner St, Boston, MA 02128",,,,1975,,bronze,sculpture,Theodore Cotillo Barbarossa,East Boston,,
http://www.wikidata.org/entity/Q111370773,2021 mural by Taj Francis in Boston,Guiding Giants,Point(-71.04036 42.37325),"150 Liverpool Street, East Boston",,,,2021,,,mural,Taj Francis,East Boston,,
http://www.wikidata.org/entity/Q107975685,2008 mural Mayor's Mural Crew and Gregg Bernstein in Boston,History of Fort Hill II,Point(-71.096424173 42.328631587),"1234 Columbus Avenue, Boston, MA 02120",,,https://repository.library.northeastern.edu/downloads/neu:4f185g328?datastream_id=thumbnail_5,2008,,acrylic paint,mural,Gregg Bernstein; Mayor's Mural Crew,Roxbury,,
http://www.wikidata.org/entity/Q115742938,"Mural in Roslindale, Massachusetts",Mural outside Fornax Bread Company,Point(-71.13 42.285833),"27 Corinth St, Roslindale, MA 02131","Mural outside Fornax Bread Company, Roslindale",,https://repository.library.northeastern.edu/downloads/neu:4f185m87p?datastream_id=thumbnail_5,2003,,,mural,Alex Cook,Roslindale,,
http://www.wikidata.org/entity/Q117472740,1971 sculpture by David Bakalar at Northeastern University's Boston campus,Adam,Point(-71.09080467 42.3372455),,,,,1971,,stainless steel,sculpture,David Bakalar,Fenway–Kenmore,,
